"","Location","Date","New_Cases","Measure","Exports_Value","Imports_Value"
"340","New Zealand",2021-02-01,3,"$",130000000,164000000
"341","New Zealand",2021-02-02,1,"$",227000000,269000000
"342","New Zealand",2021-02-03,5,"$",186000000,293000000
"343","New Zealand",2021-02-04,2,"$",143000000,3000000
"344","New Zealand",2021-02-05,0,"$",178000000,189000000
"345","New Zealand",2021-02-06,5,"$",131000000,21000000
"346","New Zealand",2021-02-07,0,"$",230000000,33000000
"347","New Zealand",2021-02-08,2,"$",88000000,57000000
"348","New Zealand",2021-02-09,2,"$",127000000,230000000
"349","New Zealand",2021-02-10,0,"$",198000000,294000000
"350","New Zealand",2021-02-11,2,"$",105000000,211000000
"351","New Zealand",2021-02-12,2,"$",118000000,197000000
"352","New Zealand",2021-02-13,2,"$",139000000,18000000
"353","New Zealand",2021-02-14,6,"$",106000000,26000000
"354","New Zealand",2021-02-15,1,"$",207000000,218000000
"355","New Zealand",2021-02-16,3,"$",185000000,255000000
"356","New Zealand",2021-02-17,4,"$",146000000,203000000
"357","New Zealand",2021-02-18,4,"$",205000000,196000000
"358","New Zealand",2021-02-19,2,"$",135000000,216000000
"359","New Zealand",2021-02-20,0,"$",136000000,17000000
"360","New Zealand",2021-02-21,7,"$",134000000,27000000
"361","New Zealand",2021-02-22,6,"$",128000000,242000000
"362","New Zealand",2021-02-23,2,"$",129000000,265000000
"363","New Zealand",2021-02-24,3,"$",320000000,203000000
"364","New Zealand",2021-02-25,3,"$",212000000,243000000
"365","New Zealand",2021-02-26,1,"$",128000000,161000000
"366","New Zealand",2021-02-27,4,"$",153000000,19000000
"367","New Zealand",2021-02-28,2,"$",178000000,28000000
"368","New Zealand",2021-03-01,4,"$",188000000,424000000
"369","New Zealand",2021-03-02,2,"$",166000000,237000000
"370","New Zealand",2021-03-03,5,"$",189000000,248000000
"371","New Zealand",2021-03-04,0,"$",263000000,223000000
"372","New Zealand",2021-03-05,9,"$",191000000,185000000
"373","New Zealand",2021-03-06,1,"$",163000000,36000000
"374","New Zealand",2021-03-07,6,"$",129000000,36000000
"375","New Zealand",2021-03-08,4,"$",95000000,266000000
"376","New Zealand",2021-03-09,1,"$",142000000,242000000
"377","New Zealand",2021-03-10,6,"$",172000000,224000000
"378","New Zealand",2021-03-11,1,"$",117000000,208000000
"379","New Zealand",2021-03-12,5,"$",213000000,184000000
"380","New Zealand",2021-03-13,1,"$",134000000,23000000
"381","New Zealand",2021-03-14,7,"$",159000000,34000000
"382","New Zealand",2021-03-15,2,"$",235000000,245000000
"383","New Zealand",2021-03-16,2,"$",208000000,218000000
"384","New Zealand",2021-03-17,0,"$",298000000,201000000
"385","New Zealand",2021-03-18,10,"$",170000000,210000000
"386","New Zealand",2021-03-19,0,"$",160000000,206000000
"387","New Zealand",2021-03-20,9,"$",180000000,32000000
"388","New Zealand",2021-03-21,9,"$",161000000,41000000
"389","New Zealand",2021-03-22,0,"$",211000000,247000000
"390","New Zealand",2021-03-23,8,"$",228000000,249000000
"391","New Zealand",2021-03-24,6,"$",157000000,218000000
"392","New Zealand",2021-03-25,3,"$",245000000,201000000
"393","New Zealand",2021-03-26,2,"$",181000000,306000000
"394","New Zealand",2021-03-27,1,"$",104000000,31000000
"395","New Zealand",2021-03-28,11,"$",166000000,34000000
"396","New Zealand",2021-03-29,2,"$",170000000,192000000
"397","New Zealand",2021-03-30,2,"$",285000000,245000000
"398","New Zealand",2021-03-31,4,"$",215000000,207000000
"399","New Zealand",2021-04-01,0,"$",188000000,392000000
"400","New Zealand",2021-04-02,0,"$",170000000,36000000
"401","New Zealand",2021-04-03,0,"$",190000000,24000000
"402","New Zealand",2021-04-04,6,"$",137000000,45000000
"403","New Zealand",2021-04-05,17,"$",111000000,45000000
"404","New Zealand",2021-04-06,7,"$",270000000,258000000
"405","New Zealand",2021-04-07,24,"$",235000000,229000000
"406","New Zealand",2021-04-08,6,"$",149000000,276000000
"407","New Zealand",2021-04-09,10,"$",244000000,213000000
"408","New Zealand",2021-04-10,3,"$",173000000,31000000
"409","New Zealand",2021-04-11,9,"$",204000000,41000000
"410","New Zealand",2021-04-12,4,"$",166000000,282000000
"411","New Zealand",2021-04-13,2,"$",153000000,283000000
"412","New Zealand",2021-04-14,2,"$",235000000,251000000
"413","New Zealand",2021-04-15,0,"$",138000000,226000000
"414","New Zealand",2021-04-16,0,"$",167000000,202000000
"415","New Zealand",2021-04-17,4,"$",187000000,33000000
"416","New Zealand",2021-04-18,1,"$",122000000,44000000
"417","New Zealand",2021-04-19,1,"$",168000000,197000000
"418","New Zealand",2021-04-20,2,"$",170000000,241000000
"419","New Zealand",2021-04-21,1,"$",170000000,251000000
"420","New Zealand",2021-04-22,0,"$",245000000,249000000
"421","New Zealand",2021-04-23,0,"$",226000000,161000000
"422","New Zealand",2021-04-24,1,"$",240000000,22000000
"423","New Zealand",2021-04-25,0,"$",145000000,31000000
"424","New Zealand",2021-04-26,8,"$",128000000,47000000
"425","New Zealand",2021-04-27,0,"$",129000000,236000000
"426","New Zealand",2021-04-28,4,"$",200000000,206000000
"427","New Zealand",2021-04-29,0,"$",138000000,165000000
"428","New Zealand",2021-04-30,0,"$",186000000,270000000
"429","New Zealand",2021-05-01,5,"$",147000000,141000000
"430","New Zealand",2021-05-02,4,"$",183000000,66000000
"431","New Zealand",2021-05-03,1,"$",150000000,313000000
"432","New Zealand",2021-05-04,6,"$",334000000,199000000
