"","Period","Value","Type"
"11410",2018-04-24,17.419,"Exports_Cumulative_billion"
"14821",2018-04-24,17.965,"Imports_Cumulative_billion"
"11510",2018-04-25,17.598,"Exports_Cumulative_billion"
"1483",2018-04-25,18.005,"Imports_Cumulative_billion"
"11610",2018-04-26,17.77,"Exports_Cumulative_billion"
"1484",2018-04-26,18.325,"Imports_Cumulative_billion"
"11710",2018-04-27,17.925,"Exports_Cumulative_billion"
"1485",2018-04-27,18.591,"Imports_Cumulative_billion"
"11810",2018-04-28,18.039,"Exports_Cumulative_billion"
"1486",2018-04-28,18.615,"Imports_Cumulative_billion"
"11910",2018-04-29,18.214,"Exports_Cumulative_billion"
"1487",2018-04-29,18.649,"Imports_Cumulative_billion"
"39",2018-04-30,451,"Weekly_Mean_Rent_Price"
"391",2018-04-30,425,"Weekly_Median_Rent_Price"
"4100",2018-04-30,1445,"RPI_Flow"
"4912",2018-04-30,1410,"RPI_Stock"
"4102",2018-04-30,997,"FPI_Food"
"4914",2018-04-30,920,"FPI_Fruit_and_vegetables"
"942",2018-04-30,988,"FPI_Meat_poultry_and_fish"
"1392",2018-04-30,1010,"FPI_Grocery_food"
"1841",2018-04-30,1016,"FPI_Non-alcoholic_beverages"
"2291",2018-04-30,1024,"FPI_Restaurant_meals_and_ready-to-eat_food"
"12010",2018-04-30,18.484,"Exports_Cumulative_billion"
"1488",2018-04-30,18.909,"Imports_Cumulative_billion"
"17512",2018-04-30,3.2071,"NZAC_Total_Annual_change"
"3918",2018-04-30,3.5565,"NZAC_Annual_change_Card_transaction_spend"
"6082",2018-04-30,2.5937,"NZAC_Annual_change_Electricity_grid_demand"
"8232",2018-04-30,58.9936,"NZAC_Annual_change_Manufacturing_index"
"10251",2018-04-30,7.5861,"NZAC_Annual_change_New_jobs_posted_online"
"12432",2018-04-30,4.8743,"NZAC_Annual_change_Traffic_index_(heavy)"
"14601",2018-04-30,4.1611,"NZAC_Annual_change_Traffic_index_(light)"
"12110",2018-05-01,18.607,"Exports_Cumulative_billion"
"1489",2018-05-01,19.182,"Imports_Cumulative_billion"
"12210",2018-05-02,18.777,"Exports_Cumulative_billion"
"1490",2018-05-02,19.362,"Imports_Cumulative_billion"
"12310",2018-05-03,18.92,"Exports_Cumulative_billion"
"14911",2018-05-03,19.555,"Imports_Cumulative_billion"
"12410",2018-05-04,19.112,"Exports_Cumulative_billion"
"14921",2018-05-04,19.79,"Imports_Cumulative_billion"
"12510",2018-05-05,19.243,"Exports_Cumulative_billion"
"1493",2018-05-05,19.819,"Imports_Cumulative_billion"
"12610",2018-05-06,19.426,"Exports_Cumulative_billion"
"1494",2018-05-06,19.852,"Imports_Cumulative_billion"
"12710",2018-05-07,19.696,"Exports_Cumulative_billion"
"1495",2018-05-07,20.047,"Imports_Cumulative_billion"
"12810",2018-05-08,19.829,"Exports_Cumulative_billion"
"1496",2018-05-08,20.227,"Imports_Cumulative_billion"
"12910",2018-05-09,20.026,"Exports_Cumulative_billion"
"1497",2018-05-09,20.428,"Imports_Cumulative_billion"
"13010",2018-05-10,20.154,"Exports_Cumulative_billion"
"1498",2018-05-10,20.626,"Imports_Cumulative_billion"
"13110",2018-05-11,20.366,"Exports_Cumulative_billion"
"1499",2018-05-11,20.815,"Imports_Cumulative_billion"
"13210",2018-05-12,20.474,"Exports_Cumulative_billion"
"1500",2018-05-12,20.839,"Imports_Cumulative_billion"
"13310",2018-05-13,20.641,"Exports_Cumulative_billion"
"15011",2018-05-13,20.869,"Imports_Cumulative_billion"
"13410",2018-05-14,20.892,"Exports_Cumulative_billion"
"15021",2018-05-14,21.105,"Imports_Cumulative_billion"
"13510",2018-05-15,20.977,"Exports_Cumulative_billion"
"1503",2018-05-15,21.314,"Imports_Cumulative_billion"
"13610",2018-05-16,21.172,"Exports_Cumulative_billion"
"1504",2018-05-16,21.503,"Imports_Cumulative_billion"
"13710",2018-05-17,21.366,"Exports_Cumulative_billion"
"1505",2018-05-17,21.708,"Imports_Cumulative_billion"
"13810",2018-05-18,21.53,"Exports_Cumulative_billion"
"1506",2018-05-18,21.89,"Imports_Cumulative_billion"
"13910",2018-05-19,21.629,"Exports_Cumulative_billion"
"1507",2018-05-19,21.913,"Imports_Cumulative_billion"
"14010",2018-05-20,21.832,"Exports_Cumulative_billion"
"1508",2018-05-20,21.944,"Imports_Cumulative_billion"
"14110",2018-05-21,22.167,"Exports_Cumulative_billion"
"1509",2018-05-21,22.191,"Imports_Cumulative_billion"
"14210",2018-05-22,22.287,"Exports_Cumulative_billion"
"15101",2018-05-22,22.404,"Imports_Cumulative_billion"
"14310",2018-05-23,22.444,"Exports_Cumulative_billion"
"15111",2018-05-23,22.708,"Imports_Cumulative_billion"
"14410",2018-05-24,22.573,"Exports_Cumulative_billion"
"15121",2018-05-24,22.914,"Imports_Cumulative_billion"
"14510",2018-05-25,22.712,"Exports_Cumulative_billion"
"15131",2018-05-25,23.123,"Imports_Cumulative_billion"
"14610",2018-05-26,22.855,"Exports_Cumulative_billion"
"15141",2018-05-26,23.145,"Imports_Cumulative_billion"
"14710",2018-05-27,23.014,"Exports_Cumulative_billion"
"15151",2018-05-27,23.173,"Imports_Cumulative_billion"
"14810",2018-05-28,23.303,"Exports_Cumulative_billion"
"1516",2018-05-28,23.496,"Imports_Cumulative_billion"
"14910",2018-05-29,23.447,"Exports_Cumulative_billion"
"1517",2018-05-29,23.699,"Imports_Cumulative_billion"
"15010",2018-05-30,23.617,"Exports_Cumulative_billion"
"1518",2018-05-30,23.864,"Imports_Cumulative_billion"
"40",2018-05-31,448,"Weekly_Mean_Rent_Price"
"401",2018-05-31,425,"Weekly_Median_Rent_Price"
"5100",2018-05-31,1450,"RPI_Flow"
"5012",2018-05-31,1415,"RPI_Stock"
"5102",2018-05-31,997,"FPI_Food"
"5014",2018-05-31,902,"FPI_Fruit_and_vegetables"
"952",2018-05-31,996,"FPI_Meat_poultry_and_fish"
"1402",2018-05-31,1007,"FPI_Grocery_food"
"1851",2018-05-31,1027,"FPI_Non-alcoholic_beverages"
